"id";"food_category";"name";"water";"calories";"protein";"total_fat";"sfa";"mufa";"pufa";"cholesterol";"carbs";"sugar";"ash";"dietary_fiber";"calcium";"iron";"magnesium";"phosphorus";"potassium";"sodium";"zinc";"copper";"selenium";"edible_fraction";"vitamin_c";"thiamine";"riboflavin";"niacin";"vitamin_b5";"vitamin_b6";"folic_acid";"folate";"food_based_folate";"vitamin_b12";"vitamin_a";"retinol";"carotenoids";"vitamin_e";"vitamin_d";"vitamin_k";"priceTierId";"imageId";"editedById";"isEdited";"can_be_a_dish";"is_gluten_free";"is_lacto_vegetarian";"is_ovo_lacto_vegetarian";"is_ovo_vegetarian";"is_vegan";"has_eggs";"has_gluten";"has_honey";"has_meat";"has_milk"
10003;10;AVELLANA, SECA;5.00;628.00;14.95;60.75;4.46;45.65;7.92;0.00;16.70;4.34;9.70;2.29;114.00;4.70;163.00;290.00;680.00;0.00;2.45;1.73;2.40;0.41;6.00;0.64;0.11;1.80;0.92;0.56;0.00;113.00;113.00;0.00;1.00;0.00;11.00;15.03;0.00;14.20;;;;false;;;;;;;;;;;
10039;10;AVELLANA, SECA TOSTADA S/SAL;3.00;646.00;15.03;62.40;4.51;46.61;8.46;0.00;17.60;4.89;9.40;2.45;123.00;4.38;173.00;310.00;755.00;0.00;2.50;1.75;4.10;1.00;4.00;0.34;0.12;2.05;0.92;0.62;0.00;88.00;88.00;0.00;3.00;0.00;36.00;15.28;0.00;;;;;false;;;;;;;;;;;
10004;10;CASTANA, EUROPEA, CRUDA, PELADA;52.00;196.00;1.63;1.25;0.24;0.43;0.49;0.00;44.17;;;0.96;19.00;0.94;30.00;38.00;484.00;2.00;0.49;0.42;;1.00;40.00;0.14;0.02;1.10;0.48;0.35;0.00;58.00;58.00;0.00;1.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10037;10;CASTANA, EUROPEA, SECA, NO PELADA;9.00;374.00;6.39;4.45;0.84;1.54;1.76;0.00;77.31;;11.70;2.40;67.00;2.38;74.00;175.00;986.00;37.00;0.35;0.65;1.80;0.84;15.00;0.30;0.36;0.85;0.90;0.66;0.00;109.00;109.00;0.00;0.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10038;10;CASTANA, EUROPEA, SECA, PELADA;9.00;369.00;5.01;3.91;0.74;1.35;1.55;0.00;78.43;;;3.64;64.00;2.39;74.00;137.00;991.00;37.00;0.35;0.65;;1.00;15.00;0.35;0.05;0.85;0.90;0.67;0.00;110.00;110.00;0.00;0.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
10005;10;CASTANA, EUROPEA, TOSTADA;40.00;245.00;3.17;2.20;0.41;0.76;0.87;0.00;52.96;10.60;5.10;1.20;29.00;0.91;33.00;107.00;592.00;2.00;0.57;0.51;1.20;0.63;26.00;0.24;0.18;1.34;0.55;0.50;0.00;70.00;70.00;0.00;1.00;0.00;14.00;0.50;0.00;7.80;;;;false;;;;;;;;;;;
10006;10;MACADAMIA, CRUDA;1.00;718.00;7.91;75.77;12.06;58.88;1.50;0.00;13.82;4.57;8.60;1.14;85.00;3.69;130.00;188.00;368.00;5.00;1.30;0.76;3.60;0.31;1.00;1.20;0.16;2.47;0.76;0.28;0.00;11.00;11.00;0.00;0.00;0.00;;0.54;0.00;;;;;false;;;;;;;;;;;
10041;10;MACADAMIA, SECA TOSTADA , S/SAL;2.00;718.00;7.79;76.08;11.95;59.28;1.50;0.00;13.38;4.14;8.00;1.14;70.00;2.65;118.00;198.00;363.00;4.00;1.29;0.57;11.70;1.00;1.00;0.71;0.09;2.27;0.60;0.36;0.00;10.00;10.00;0.00;0.00;0.00;0.00;0.57;0.00;0.00;;;;false;;;;;;;;;;;
10042;10;MACADAMIA, SECA TOSTADA, C/SAL;2.00;716.00;7.79;76.08;11.95;59.28;1.50;0.00;12.83;4.14;8.00;1.70;70.00;2.65;118.00;198.00;363.00;353.00;1.29;0.57;11.70;1.00;1.00;0.71;0.09;2.27;0.60;0.36;0.00;10.00;10.00;0.00;0.00;0.00;0.00;0.57;0.00;0.00;;;;false;;;;;;;;;;;
10007;10;MANI/CACAHUATE CRUDO, C/PELICULA;7.00;543.00;25.50;44.00;;;;;21.30;;4.30;2.30;66.00;3.00;;393.00;;;;;;0.71;1.00;0.91;0.21;17.60;;;;;;;3.00;;;;;;;;;false;;;;;;;;;;;
10009;10;MANI/CACAHUATE TOSTADO, C/SAL;2.00;587.00;24.35;49.66;7.72;26.18;9.77;0.00;21.26;4.90;8.40;2.92;58.00;1.58;178.00;363.00;634.00;410.00;2.77;0.43;9.30;1.00;0.00;0.15;0.20;14.36;1.01;0.47;0.00;97.00;97.00;0.00;0.00;0.00;0.00;4.93;0.00;0.00;;;;false;;;;;;;;;;;
10010;10;MANI/CACAHUATE TOSTADO, S/SAL;2.00;587.00;24.35;49.66;7.72;26.18;9.77;0.00;21.26;4.90;8.40;2.92;58.00;1.58;178.00;363.00;634.00;6.00;2.77;0.43;9.30;1.00;0.00;0.15;0.20;14.36;1.01;0.47;0.00;97.00;97.00;0.00;0.00;0.00;0.00;4.93;0.00;0.00;;;;false;;;;;;;;;;;
10008;10;MANI/CACAHUATE, CRUDO;7.00;567.00;25.80;49.24;6.28;24.43;15.56;0.00;16.13;4.72;8.50;2.33;92.00;4.58;168.00;376.00;705.00;18.00;3.27;1.14;7.20;1.00;0.00;0.64;0.14;12.07;1.77;0.35;0.00;240.00;240.00;0.00;0.00;0.00;0.00;8.33;0.00;0.00;;;;false;;;;;;;;;;;
10011;10;NUEZ DE BRAZIL, SECA;3.00;659.00;14.32;67.10;16.13;23.88;24.40;0.00;11.74;2.33;7.50;3.43;160.00;2.43;376.00;725.00;659.00;3.00;4.06;1.74;1917.00;0.51;1.00;0.62;0.04;0.30;0.18;0.10;0.00;22.00;22.00;0.00;0.00;0.00;0.00;5.65;0.00;0.00;;;;false;;;;;;;;;;;
10043;10;NUEZ DE NOGAL, BLANCA, SECA;3.00;612.00;24.90;56.98;1.31;10.43;42.74;0.00;12.05;;4.70;2.73;53.00;4.02;237.00;446.00;421.00;1.00;3.13;0.45;17.20;0.27;3.00;0.38;0.15;1.05;0.63;0.56;0.00;66.00;66.00;0.00;6.00;0.00;;;0.00;;;;;false;;;;;;;;;;;
